depth	min95%	max95%	best	accrate
614	13260	13622	13410	38.98
615	13300	13659	13449	39.03
616	13338	13697	13488	39.07
617	13378	13733	13527	39.12
618	13416	13771	13566	39.17
619	13455	13809	13605	39.21
620	13493	13845	13644	39.26
621	13532	13883	13683	39.3
622	13572	13920	13723	39.35
623	13611	13957	13762	39.39
624	13650	13995	13801	39.43
625	13689	14033	13841	39.47
626	13728	14071	13880	39.51
627	13768	14110	13920	39.55
628	13807	14148	13959	39.59
629	13847	14186	13999	39.63
630	13887	14225	14039	39.66
631	13927	14263	14078	39.7
632	13967	14301	14118	39.73
633	14005	14338	14158	39.77
634	14044	14377	14197	39.8
635	14083	14417	14237	39.83
636	14121	14457	14277	39.87
637	14160	14494	14317	39.9
638	14200	14534	14357	39.93
639	14238	14573	14397	39.95
640	14276	14610	14437	39.98
641	14315	14647	14477	40.01
642	14354	14687	14517	40.04
643	14392	14727	14557	40.06
644	14432	14767	14597	40.09
645	14471	14806	14637	40.11
646	14510	14845	14677	40.13
647	14549	14884	14717	40.15
648	14590	14922	14757	40.18
649	14628	14961	14797	40.2
650	14667	15000	14838	40.22
651	14706	15039	14878	40.23
652	14745	15078	14918	40.25
653	14784	15118	14958	40.27
654	14822	15158	14999	40.28
655	14863	15195	15039	40.3
656	14901	15233	15079	40.31
657	14939	15274	15120	40.33
658	14978	15315	15160	40.34
659	15017	15356	15200	40.35
660	15057	15397	15241	40.36
661	15096	15438	15281	40.37
662	15135	15479	15321	40.38
663	15174	15520	15362	40.39
664	15213	15562	15402	40.4
665	15253	15603	15442	40.4
666	15292	15644	15483	40.41
667	15332	15685	15523	40.42
668	15372	15724	15564	40.42
669	15411	15765	15604	40.42
670	15450	15808	15645	40.43
671	15489	15849	15685	40.43
672	15528	15890	15725	40.43
673	15567	15932	15766	40.43
674	15606	15973	15806	40.43
675	15646	16014	15847	40.43
676	15685	16056	15887	40.43
677	15724	16098	15928	40.43
678	15763	16140	15968	40.43
679	15800	16182	16008	40.43
680	15838	16224	16049	40.43
681	15876	16268	16089	40.43
682	15913	16309	16130	40.43
683	15952	16351	16170	40.43
684	15991	16393	16211	40.43
685	16030	16435	16251	40.43
686	16068	16476	16291	40.43
687	16107	16520	16332	40.43
688	16144	16562	16372	40.43
689	16180	16604	16413	40.43
690	16217	16645	16453	40.43
691	16256	16687	16494	40.43
692	16295	16731	16534	40.43
693	16333	16774	16574	40.43
694	16372	16817	16615	40.43
695	16411	16858	16655	40.43
696	16450	16901	16696	40.43
697	16489	16944	16736	40.43
698	16528	16986	16777	40.43
699	16568	17028	16817	40.43
700	16607	17071	16857	40.43
701	16647	17112	16898	40.43
702	16684	17155	16938	40.43
703	16723	17198	16979	40.43
704	16760	17241	17019	40.43
705	16797	17284	17059	40.43
706	16835	17327	17100	40.43
707	16872	17370	17140	40.43
708	16909	17412	17181	40.43
709	16946	17455	17221	40.43
710	16984	17498	17262	40.43
711	17021	17542	17302	40.43
712	17058	17585	17342	40.43
713	17095	17628	17383	40.43
714	17133	17672	17423	40.43
715	17168	17715	17464	40.43
716	17204	17758	17504	40.43
717	17240	17800	17545	40.43
718	17275	17842	17585	40.43
719	17312	17885	17625	40.43
720	17350	17928	17666	40.43
721	17388	17972	17706	40.43
722	17424	18015	17747	40.43
723	17460	18059	17787	40.43
724	17496	18102	17828	40.43
725	17532	18145	17868	40.43
726	17568	18188	17908	40.43
727	17604	18231	17949	40.43
728	17640	18275	17989	40.43
729	17676	18318	18030	40.43
730	17711	18362	18070	40.43
731	17748	18406	18111	40.43
732	17784	18449	18151	40.43
733	17821	18493	18191	40.43
734	17857	18537	18232	40.43
735	17893	18580	18272	40.43
736	17929	18624	18313	40.43
737	17965	18668	18353	40.43
738	18001	18711	18394	40.43
739	18037	18755	18434	40.43
740	18075	18799	18474	40.43
741	18113	18842	18515	40.43
742	18149	18886	18555	40.43
743	18185	18929	18596	40.43
744	18222	18972	18636	40.43
745	18258	19016	18677	40.43
746	18294	19059	18717	40.43
747	18330	19102	18757	40.43
748	18366	19146	18798	40.43
749	18402	19189	18838	40.43
750	18438	19232	18879	40.43
751	18475	19276	18919	40.43
752	18512	19319	18960	40.43
753	18548	19362	19000	40.43
754	18584	19406	19040	40.43
755	18622	19449	19081	40.43
756	18659	19493	19121	40.43
757	18695	19536	19162	40.43
758	18731	19579	19202	40.43
759	18767	19623	19243	40.43
760	18803	19666	19283	40.43
761	18839	19709	19323	40.43
762	18875	19752	19364	40.43
763	18912	19795	19404	40.43
764	18948	19838	19445	40.43
765	18983	19881	19485	40.43
766	19018	19925	19526	40.43
767	19054	19968	19566	40.43
768	19090	20011	19606	40.43
769	19127	20054	19647	40.43
770	19164	20097	19687	40.43
771	19200	20140	19728	40.43
772	19237	20183	19768	40.43
773	19273	20227	19809	40.43
774	19309	20271	19849	40.43
775	19345	20314	19889	40.43
776	19381	20358	19930	40.43
777	19417	20402	19970	40.43
778	19453	20445	20011	40.43
779	19489	20489	20051	40.43
780	19525	20533	20092	40.43
781	19562	20576	20132	40.43
782	19598	20620	20172	40.43
783	19634	20663	20213	40.43
784	19670	20706	20253	40.43
785	19706	20750	20294	40.43
786	19741	20793	20334	40.43
787	19777	20836	20375	40.43
788	19813	20880	20415	40.43
789	19850	20923	20455	40.43
790	19887	20966	20496	40.43
791	19923	21010	20536	40.43
792	19959	21053	20577	40.43
793	19995	21096	20617	40.43
794	20031	21140	20658	40.43
795	20067	21183	20698	40.43
796	20103	21226	20738	40.43
797	20139	21269	20779	40.43
798	20175	21313	20819	40.43
799	20212	21356	20860	40.43
800	20248	21399	20900	NA
